span_station_x,normalized_span_eta,leading_edge_y,trailing_edge_y,chord_length,num_intersections
-26.387160,-1.000000,-16.374360,-16.374360,0.000000,1
-25.859417,-0.980000,-13.503841,-16.300946,2.797105,2
-25.331674,-0.960000,-12.092261,-15.585224,3.492963,2
-24.803930,-0.940000,-11.090905,-14.981399,3.890494,2
-24.276187,-0.920000,-10.300633,-14.564313,4.263679,2
-23.748444,-0.900000,-9.643656,-14.221790,4.578135,2
-23.220701,-0.880000,-9.092255,-13.917856,4.825601,2
-22.692958,-0.860000,-8.607012,-13.634673,5.027661,2
-22.165214,-0.840000,-8.163079,-13.364893,5.201813,2
-21.637471,-0.820000,-7.745917,-13.103463,5.357546,2
-21.109728,-0.800000,-7.346132,-12.846560,5.500428,2
-20.581985,-0.780000,-6.956952,-12.590098,5.633145,2
-20.054242,-0.760000,-6.572899,-12.330637,5.757738,2
-19.526498,-0.740000,-6.188817,-12.064268,5.875452,2
-18.998755,-0.720000,-5.799080,-11.793227,5.994147,2
-18.471012,-0.700000,-5.410642,-11.523835,6.113194,2
-17.943269,-0.680000,-5.032836,-11.257306,6.224470,2
-17.415526,-0.660000,-4.663790,-10.993012,6.329222,2
-16.887782,-0.640000,-4.301661,-10.730405,6.428744,2
-16.360039,-0.620000,-3.944642,-10.468958,6.524316,2
-15.832296,-0.600000,-3.590958,-10.208155,6.617197,2
-15.304553,-0.580000,-3.238740,-9.947465,6.708725,2
-14.776810,-0.560000,-2.885757,-9.686316,6.800560,2
-14.249066,-0.540000,-2.539012,-9.424087,6.885075,2
-13.721323,-0.520000,-2.217662,-9.161167,6.943505,2
-13.193580,-0.500000,-1.917472,-8.899257,6.981785,2
-12.665837,-0.480000,-1.623521,-8.638510,7.014989,2
-12.138094,-0.460000,-1.320198,-8.378120,7.057922,2
-11.610350,-0.440000,-0.992425,-8.117116,7.124691,2
-11.082607,-0.420000,-0.619043,-7.854548,7.235505,2
-10.554864,-0.400000,-0.152627,-7.589225,7.436599,2
-10.027121,-0.380000,0.450778,-7.318400,7.769178,2
-9.499378,-0.360000,1.247128,-7.021210,8.268338,2
-8.971634,-0.340000,2.262450,-6.651194,8.913644,2
-8.443891,-0.320000,3.433600,-6.316713,9.750313,2
-7.916148,-0.300000,4.613748,-6.205749,10.819498,2
-7.388405,-0.280000,5.899819,-6.350157,12.249976,2
-6.860662,-0.260000,7.312105,-6.712865,14.024970,2
-6.332918,-0.240000,8.780625,-7.526109,16.306733,2
-5.805175,-0.220000,10.220611,-10.156938,20.377550,2
-5.277432,-0.200000,11.618124,-12.295693,23.913817,2
-4.749689,-0.180000,13.032982,-13.910998,26.943980,2
-4.221946,-0.160000,14.424357,-14.796718,29.221076,2
-3.694202,-0.140000,15.742962,-15.399448,31.142409,2
-3.166459,-0.120000,17.019231,-15.764759,32.783990,2
-2.638716,-0.100000,18.337665,-15.948361,34.286026,2
-2.110973,-0.080000,19.321302,-16.021254,35.342557,2
-1.583230,-0.060000,19.888314,-16.040241,35.928556,2
-1.055486,-0.040000,20.227106,-16.030143,36.257249,2
-0.527743,-0.020000,20.428226,-16.011457,36.439682,2
0.000000,0.000000,20.500000,-16.000000,36.500000,2
0.527743,0.020000,20.428226,-16.011457,36.439682,2
1.055486,0.040000,20.227106,-16.030143,36.257249,2
1.583230,0.060000,19.888314,-16.040241,35.928556,2
2.110973,0.080000,19.321302,-16.021254,35.342557,2
2.638716,0.100000,18.337665,-15.948361,34.286026,2
3.166459,0.120000,17.019231,-15.764759,32.783990,2
3.694202,0.140000,15.742962,-15.399448,31.142409,2
4.221946,0.160000,14.424357,-14.796718,29.221076,2
4.749689,0.180000,13.032982,-13.910998,26.943980,2
5.277432,0.200000,11.618124,-12.295693,23.913817,2
5.805175,0.220000,10.220611,-10.156938,20.377550,2
6.332918,0.240000,8.780625,-7.526109,16.306733,2
6.860662,0.260000,7.312105,-6.712865,14.024970,2
7.388405,0.280000,5.899819,-6.350157,12.249976,2
7.916148,0.300000,4.613748,-6.205749,10.819498,2
8.443891,0.320000,3.433600,-6.316713,9.750313,2
8.971634,0.340000,2.262450,-6.651194,8.913644,2
9.499378,0.360000,1.247128,-7.021210,8.268338,2
10.027121,0.380000,0.450778,-7.318400,7.769178,2
10.554864,0.400000,-0.152627,-7.589225,7.436599,2
11.082607,0.420000,-0.619043,-7.854548,7.235505,2
11.610350,0.440000,-0.992425,-8.117116,7.124691,2
12.138094,0.460000,-1.320198,-8.378120,7.057922,2
12.665837,0.480000,-1.623521,-8.638510,7.014989,2
13.193580,0.500000,-1.917472,-8.899257,6.981785,2
13.721323,0.520000,-2.217662,-9.161167,6.943505,2
14.249066,0.540000,-2.539012,-9.424087,6.885075,2
14.776810,0.560000,-2.885757,-9.686316,6.800560,2
15.304553,0.580000,-3.238740,-9.947465,6.708725,2
15.832296,0.600000,-3.590958,-10.208155,6.617197,2
16.360039,0.620000,-3.944642,-10.468958,6.524316,2
16.887782,0.640000,-4.301661,-10.730405,6.428744,2
17.415526,0.660000,-4.663790,-10.993012,6.329222,2
17.943269,0.680000,-5.032836,-11.257306,6.224470,2
18.471012,0.700000,-5.410642,-11.523835,6.113194,2
18.998755,0.720000,-5.799080,-11.793227,5.994147,2
19.526498,0.740000,-6.188817,-12.064268,5.875452,2
20.054242,0.760000,-6.572899,-12.330637,5.757738,2
20.581985,0.780000,-6.956952,-12.590098,5.633145,2
21.109728,0.800000,-7.346132,-12.846560,5.500428,2
21.637471,0.820000,-7.745917,-13.103463,5.357546,2
22.165214,0.840000,-8.163079,-13.364893,5.201813,2
22.692958,0.860000,-8.607012,-13.634673,5.027661,2
23.220701,0.880000,-9.092255,-13.917856,4.825601,2
23.748444,0.900000,-9.643656,-14.221790,4.578135,2
24.276187,0.920000,-10.300633,-14.564313,4.263679,2
24.803930,0.940000,-11.090905,-14.981399,3.890494,2
25.331674,0.960000,-12.092261,-15.585224,3.492963,2
25.859417,0.980000,-13.503841,-16.300946,2.797105,2
26.387160,1.000000,-16.374360,-16.374360,0.000000,1
