"point_id","x","y"
"0","0.00000","20.50000"
"1","0.36442","20.49112"
"2","0.73570","20.46489"
"3","1.11092","20.42187"
"4","1.48712","20.36266"
"5","1.86136","20.28783"
"6","2.23070","20.19798"
"7","2.59216","20.09369"
"8","2.94284","19.97554"
"9","3.27976","19.84412"
"10","3.60000","19.70000"
"11","4.01810","19.46662"
"12","4.40254","19.19256"
"13","4.75944","18.88337"
"14","5.09490","18.54456"
"15","5.41504","18.18169"
"16","5.72598","17.80028"
"17","6.03384","17.40587"
"18","6.34470","17.00400"
"19","6.66472","16.60020"
"20","7.00000","16.20000"
"21","7.43298","15.69051"
"22","7.86742","15.15820"
"23","8.30338","14.60658"
"24","8.74090","14.03918"
"25","9.17996","13.45950"
"26","9.62064","12.87106"
"27","10.06296","12.27738"
"28","10.50694","11.68196"
"29","10.95260","11.08833"
"30","11.40000","10.50000"
"31","11.86940","9.87654"
"32","12.33690","9.23763"
"33","12.80410","8.58853"
"34","13.27258","7.93447"
"35","13.74396","7.28071"
"36","14.21982","6.63249"
"37","14.70176","5.99507"
"38","15.19136","5.37368"
"39","15.69026","4.77357"
"40","16.20000","4.20000"
"41","16.62380","3.73204"
"42","17.03190","3.27067"
"43","17.43320","2.81740"
"44","17.83658","2.37378"
"45","18.25100","1.94133"
"46","18.68532","1.52157"
"47","19.14848","1.11603"
"48","19.64936","0.72624"
"49","20.19690","0.35372"
"50","20.80000","0.00000"
"51","21.47420","-0.33223"
"52","22.20672","-0.63627"
"53","22.98788","-0.91752"
"54","23.80792","-1.18135"
"55","24.65712","-1.43315"
"56","25.52574","-1.67829"
"57","26.40408","-1.92217"
"58","27.28238","-2.17015"
"59","28.15094","-2.42764"
"60","29.00000","-2.70000"
"61","29.88540","-2.99708"
"62","30.77672","-3.29471"
"63","31.67296","-3.59375"
"64","32.57312","-3.89509"
"65","33.47618","-4.19959"
"66","34.38116","-4.50813"
"67","35.28704","-4.82156"
"68","36.19280","-5.14077"
"69","37.09746","-5.46663"
"70","38.00000","-5.80000"
